"Local","data","R0","LB","UB","parametro"
"ALTO VALE DO ITAJAI","2020-10-16",1.064,1.062,1.065,"GRAVISSIMO"
"FOZ DO RIO ITAJAI","2020-10-16",1.053,1.052,1.054,"GRAVISSIMO"
"GRANDE FLORIANOPOLIS","2020-10-16",1.085,1.084,1.086,"GRAVISSIMO"
"GRANDE OESTE","2020-10-16",1.049,1.048,1.051,"GRAVISSIMO"
"MEIO OESTE E SERRA CATARINENSE","2020-10-16",1.068,1.066,1.069,"GRAVISSIMO"
"PLANALTO NORTE E NORDESTE","2020-10-16",1.08,1.079,1.082,"GRAVISSIMO"
"SUL","2020-10-16",1.077,1.076,1.078,"GRAVISSIMO"
