"data","LB","UB","R0"
2022-02-02,0.768,0.825,0.797
2022-02-03,0.777,0.838,0.808
2022-02-04,0.74,0.809,0.774
2022-02-05,0.749,0.824,0.787
2022-02-06,0.745,0.829,0.787
2022-02-07,0.743,0.836,0.79
2022-02-08,0.708,0.805,0.757
2022-02-09,0.703,0.805,0.754
2022-02-10,0.714,0.824,0.769
2022-02-11,0.72,0.834,0.777
2022-02-12,0.706,0.828,0.767
2022-02-13,0.671,0.801,0.736
2022-02-14,0.694,0.832,0.763
2022-02-15,0.676,0.821,0.748
